name,ring,quadrant,isNew,description 
NodeJs ,trial ,language-and-frameworks,FALSE,"<p><strong>Node.js</strong> is an open-source, cross-platform, JavaScript runtime environment that executes JavaScript code outside of a browser. Node.js lets developers use JavaScript to write command line tools and for server-side scripting—running scripts server-side to produce dynamic web page content before the page is sent to the user's web browser</p> "
TypeScript/Javascript,adopt,language-and-frameworks,FALSE,"<p><strong><a href=""https://www.typescriptlang.org/"">TypeScript</a></strong>, a statically typed language and superset of JavaScript, has become our sensible default. Large-scale projects benefit most from the type safety. Our developers favor its minimal configuration management, well-integrated IDE support and its ability to refactor code safely and gradually adopt types. With its <a href=""https://definitelytyped.org/"">good repository</a> of TypeScript-type definitions at hand, we benefit from all the rich JavaScript libraries while gaining type safety.</p> "
React.js,assess,language-and-frameworks,FALSE,<p><b>React.js</b> is a JavaScript library for building user interfaces. It's declarative and Component-based.</p>
RxJS,adopt,language-and-frameworks,FALSE,"<p><b>RxJS</b> is a library for composing asynchronous and event-based programs by using observable sequences. It provides one core type, the Observable, satellite types (Observer, Schedulers, Subjects) and operators inspired by Array#extras (map, filter, reduce, every, etc) to allow handling asynchronous events as collections.</p>"
RPG,assess,language-and-frameworks,FALSE,"<p><b>RPG</b> is a high-level fully procedural programming language used by businesses to create commercial business applications on IBM’s leading minicomputer system, the AS400 or iSeries. RPG has gained wide acceptance and has evolved massively since its inception. Today several ERP’s and mission critical business applications, are written in RPG based on RPG IV, because it is enabled to provide an interactive programming environment to AS400 RPG Programmers.</p>"
Flutter,assess,platforms,FALSE,"<p><b>Flutter</b> is Google’s UI toolkit for building beautiful, natively compiled applications for mobile, web, and desktop from a single codebase. It has an Expressive and Flexible UI, it brings Native Performance and it allows a fast development by using a rich set of fully-customizable widgets. </p>"
Mockito,adopt,language-and-frameworks,FALSE,<p>Mockito is a mocking framework for java. It lets you write tests with a clean and simple API. Mockito doesn’t give you hangover because the tests are very readable and they produce clean verification errors</p> 
PowerMock,assess,language-and-frameworks,FALSE,"<p>PowerMock is a framework that extends other mock libraries such as EasyMock with more powerful capabilities. PowerMock uses a custom classloader and bytecode manipulation to enable mocking of static methods, constructors, final classes and methods, private methods, removal of static initializers and more<p> "
Elixir - Erlang/OTP,assess,language-and-frameworks,FALSE,"<p>Elixir is an alternative language for the Erlang virtual machine that allows you to write cleaner, more compact code that does a better job of revealing your intentions. You write programs in Elixir and run them normally in BEAM.<br> Elixir targets the Erlang runtime. The result of compiling the Elixir source code is BEAM-compliant bytecode files that can run in a BEAM instance and can normally cooperate with pure Erlang code — you can use Erlang libraries from Elixir and vice versa. There’s nothing you can do in Erlang that can’t be done in Elixir, and usually the Elixir code is as performant as its Erlang counterpart.<br> Elixir provides constructs that make it possible to radically reduce boilerplate and duplication. <br> Elixir solution is usually easier to develop and maintain thanks to some nice syntactic sugar and a uniform tool for creating and packaging systems. </p>"
SuperTest ,assess,language-and-frameworks,FALSE,<p>Super-agent driven library for testing node.js HTTP servers using a fluent API</p> 
Reactor,assess,language-and-frameworks,FALSE,"<p>Alongside HTML and CSS, JavaScript is one of the core technologies of the World Wide Web. JavaScript enables interactive web pages and is an essential part of web applications. </p>"
Resilience4j,trial,language-and-frameworks,FALSE,"<p><a href=""https://github.com/resilience4j/resilience4j""><strong>Resilience4j</strong></a> is a lightweight fault tolerance library inspired by Netflix <a href=""/radar/tools/hystrix"">Hystrix</a>. We like its lightweight and modular structure where we pull in specific modules for specific capabilities such as circuit-breaking, rate-limiting, retry, and bulkhead. While <a href=""/radar/techniques/service-mesh"">service meshes</a> are taking on some of the fault tolerance capabilities, fault tolerance libraries continue to remain a key component of our systems for more nuanced domain-specific fault tolerance behavior and for non-containerized services. With Hystrix going into <a href=""https://github.com/Netflix/Hystrix/commit/a7df971cbaddd8c5e976b3cc5f14013fe6ad00e6#diff-04c6e90faac2675aa89e2176d2eec7d8"">maintenance mode</a>, Resilience4j becomes a default choice in the Java ecosystem. It can work with synchronous APIs as well as reactive ones. It also surfaces metrics to <a href=""https://metrics.dropwizard.io/4.0.0/"">dropwizard metrics</a>, <a href=""/radar/tools/prometheus"">Prometheus</a> and others using additional modules.</p> "
WebFlux,adopt,language-and-frameworks,FALSE,"<p><strong><a href=""https://docs.spring.io/spring/docs/current/spring-framework-reference/web-reactive.html"">WebFlux</a></strong> is the Spring Framework implementation of <a href=""https://www.reactive-streams.org/"">Reactive Streams</a>. We see a rise in reactive programming models across our teams in general and the use of WebFlux in teams who are working in the Spring ecosystem. It's best used in large microservices ecosystems where the high performance of the requests is a major concern. It allows overlapping request processing asynchronously without the complications of using multiple threads. WebFlux uses <a href=""https://github.com/reactor/reactor"">Reactor</a> as its reactive library but it is interoperable with other reactive libraries via Reactive Streams. It uses <a href=""https://netty.io/"">Netty</a> as its underlying high-performance communications engine. Although we encourage using Reactive Streams, adopting this programming model requires a significant shift in thinking.</p> "
React Native,hold,platforms,FALSE,"<p><b>React Native</b> is an open source platform for developing native mobile applications; it was developed largely by a team at Facebook. The cool part of working with React Native is that your program uses standard web technologies like JavaScript (JSX), CSS, and HTML, yet your application is fully native. In other words, your application is fast and smooth, and it is equivalent to any native application built using traditional iOS technologies like Objective-C and Swift. However, React Native does not compromise in terms of performance and overall experience, like popular hybrid frameworks that use web technologies to build iOS apps. </p>"
Amazon RDS  PostgreSQL,assess,platforms,FALSE,"<p>PostgreSQL has become the preferred open source relational database for many enterprise developers and start-ups, powering leading business and mobile applications. Amazon RDS makes it easy to set up, operate, and scale PostgreSQL deployments in the cloud. With Amazon RDS, you can deploy scalable PostgreSQL deployments in minutes with cost-efficient and resizable hardware capacity. Amazon RDS manages complex and time-consuming administrative tasks such as PostgreSQL software installation and upgrades; storage management; replication for high availability and read throughput; and backups for disaster recovery.</p> "
Amazon Aurora PostgreSQL,assess,platforms,FALSE,"<p><b>Amazon Aurora</b> is a MySQL and PostgreSQL-compatible relational database built for the cloud, that combines the performance and availability of traditional enterprise databases with the simplicity and cost-effectiveness of open source databases.<br>Know more <a href=""https://aws.amazon.com/rds/aurora/?nc1=h_ls&aurora-whats-new.sort-by=item.additionalFields.postDateTime&aurora-whats-new.sort-order=desc"">here</a> </p>"
Mongo DB,assess,platforms,FALSE,"<p>MongoDB is a document database, which means it stores data in JSON-like documents. We believe this is the most natural way to think about data, and is much more expressive and powerful than the traditional row/column model.<br> MongoDB is a true data platform with a comprehensive suite of tools to make working with data remarkably easy for everyone, from developers to analysts to data scientists.<br >Know more <a href=""https://docs.mongodb.com/manual/"">here</a> </p>"
Datical DB,assess,platforms,FALSE,<p>Datical DB for SQL database improves and simplifies the application release process by automating database management.</p>
Amazon Kinesis (Data Streams & Data Firehose),adopt,platforms,FALSE,"<p> Amazon Kinesis makes it easy to collect, process, and analyze real-time, streaming data so you can get timely insights and react quickly to new information. Amazon Kinesis enables you to process and analyze data as it arrives and respond instantly instead of having to wait until all your data is collected before the processing can begin.  </p> "
Amazon DocumentDB,trial,platforms,FALSE,"<p> Amazon DocumentDB (with MongoDB compatibility) is a fast, scalable, highly available, and fully managed document database service that supports MongoDB workloads. As a document database, Amazon DocumentDB makes it easy to store, query, and index JSON data </p> "
QLDB,trial,platforms,FALSE,"<p>  Amazon Quantum Ledger Database (Amazon QLDB) is a fully managed ledger database that provides a transparent, immutable, and cryptographically verifiable transaction log owned by a central trusted authority. You can use Amazon QLDB to track all application data changes, and maintain a complete and verifiable history of changes over time.</p>  "
Amazon API Gateway,trial,platforms,FALSE,"<p> Amazon API Gateway is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure APIs at any scale. APIs act as the ""front door"" for applications to access data, business logic, or functionality from your backend services. Using API Gateway, you can create RESTful APIs and WebSocket APIs that enable real-time two-way communication applications. API Gateway supports containerized and serverless workloads, as well as web applications </p> "
Amazon Athena,adopt,platforms,FALSE,"<p> Amazon Athena is an interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL. Athena is serverless, so there is no infrastructure to manage, and you pay only for the queries that you run </p> "
QuickSight,assess,platforms,FALSE,"<p> Amazon QuickSight is a scalable, serverless, embeddable, machine learning-powered business intelligence (BI) service built for the cloud. QuickSight lets you easily create and publish interactive BI dashboards that include Machine Learning-powered insights. QuickSight dashboards can be accessed from any device, and seamlessly embedded into your applications, portals, and websites. </p> "
Amazon MQ (RabbitMQ),adopt,platforms,FALSE,"<p> Amazon MQ is a managed message broker service for Apache ActiveMQ and RabbitMQ that makes it easy to set up and operate message brokers on AWS. Amazon MQ reduces your operational responsibilities by managing the provisioning, setup, and maintenance of message brokers for you. Because Amazon MQ connects to your current applications with industry-standard APIs and protocols, you can easily migrate to AWS without having to rewrite code. </p> "
Amazon DynamoDB,assess,platforms,FALSE,"<p>Amazon DynamoDB is a fully managed proprietary NoSQL database service that supports key-value and document data structures and is offered by Amazon.com as part of the Amazon Web Services portfolio. DynamoDB exposes a similar data model to and derives its name from Dynamo, but has a different underlying implementation. Dynamo had a multi-master design requiring the client to resolve version conflicts and DynamoDB uses synchronous replication across multiple data centers for high durability and availability. </p> "
Amazon ElastiCache (Redis),adopt,platforms,FALSE,"<p>Amazon ElastiCache offers fully managed Redis and Memcached. Seamlessly deploy, run, and scale popular open source compatible in-memory data stores. Build data-intensive apps or improve the performance of your existing apps by retrieving data from high throughput and low latency in-memory data stores</p> "
Amazon EKS,adopt,platforms,FALSE,"<p>Amazon Elastic Kubernetes Service (Amazon EKS) makes it easy to deploy, manage, and scale containerized applications using Kubernetes on AWS. Amazon EKS runs the Kubernetes management infrastructure for you across multiple AWS availability zones to eliminate a single point of failure</p> "
Dynatrace,adopt,platforms,FALSE,"<p>Dynatrace is a software intelligence company providing application performance management (APM), artificial intelligence for operations (AIOps), cloud infrastructure monitoring, and digital experience management (DEM), with products for the information technology departments and digital business owners of medium and large businesses</p> "
Istio,adopt,platforms,FALSE,"<p><strong><a href=""https://istio.io/"">Istio</a></strong> is becoming the  factor of  infrastructure to operationalize a <a href=""https://martinfowler.com/articles/microservices.html"">microservices</a> ecosystem. Its out-of-the-box implementation of cross-cutting concerns — such as service discovery, service-to-service and origin-to-service security, observability (including telemetry and distributed tracing), rolling releases and resiliency — has been bootstrapping our microservices implementations very quickly. It's the main implementation of the <a href=""/radar/techniques/service-mesh"">service mesh</a> technique we've been using. We've been enjoying its monthly releases and its continuous improvements with seamless upgrades. We use Istio to bootstrap our projects, starting with observability (tracing and telemetry) and service-to-service security. We're closely watching its improvements to service-to-service authentication everywhere in and outside of the mesh. We'd also like to see Istio establish best practices for configuration files to strike a balance between giving autonomy to service developers and control to the service mesh operators.</p> "
Kobiton,assess,platforms,FALSE,"<p><b>Kobiton</b> is a mobile device testing platform that accelerates the testing and delivery of mobile applications by offering live device testing in the cloud, or on-premise.<br> Know more <a href=""https://kobiton.com"">here</a> </p>"
OpenShift,trial,platforms,FALSE,"<p><b>OpenShift</b> is a Kubernetes superset combining over 200 open source projects into a fully integrated solution with strong focus on a developer experience, operational capabilities, monitoring, and management with strong and secure defaults. All these while being pluggable so platform admins can replace out of the box components and services with their own.<br >Know more <a href=""https://www.openshift.com"">here</a> </p>"
AWS CodeDeploy,trial,platforms,FALSE,"<p><b>AWS CodeDeploy</b> is a fully managed deployment service that automates software deployments to a variety of compute services such as Amazon EC2, AWS Fargate, AWS Lambda, and your on-premises servers. AWS CodeDeploy makes it easier for you to rapidly release new features, helps you avoid downtime during application deployment, and handles the complexity of updating your applications. You can use AWS CodeDeploy to automate software deployments, eliminating the need for error-prone manual operations. The service scales to match your deployment needs.<br >Know more <a href=""https://www.openshift.com"">here</a> </p>"
Rational Team Concert,adopt,platforms,FALSE,"<p><b>Rational Team Concert™</b> is a team collaboration tool that is built on a scalable, extensible platform. Rational Team Concert uses the Change and Configuration Management (CCM) application to provide features that integrate development project tasks including iteration planning, process definition, change management, defect tracking, source control, build automation, and reporting.<br> Know more <a href=""https://www.ibm.com/support/knowledgecenter/en/SSYMRC_6.0.0/com.ibm.team.concert.doc/topics/c_product-overview.html"">here</a> </p>"
Feature Flags Bancolombia,adopt,platforms,FALSE,"<p><b>Feature Flags or Feature Toogles </b>is a technique widely used by new architectures and deployment models that require the release of features in a fast and safe way for the user experience, allowing enabling or disabling features in production without the need to redeploy to all users or specific user segments, favors the practice of Trunk Based Development, as well as hot variations of features on mobile devices where it is difficult to achieve an update of all users.<br> Know more <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/6756/Cultura-Feature-Flags"">aquí</a> </p>"
UrbanCode,adopt,platforms,FALSE,"<p><b>UrbanCode</b> is a build management, deployment automation and release management solutions that can enable continuous delivery for any combination of on-premises, cloud and mainframe applications by eliminating manual, error-prone processes. <br> Know more <a href=""https://www.ibm.com/cloud/urbancode"">here</a> </p> "
Kafka Streams,trial,platforms,FALSE,"<p><strong><a href=""https://kafka.apache.org/documentation/streams/"">Kafka Streams</a></strong> is a lightweight library to build streaming applications. It supports basic streaming APIs such as join, filter, map and aggregate as well as local storage for common use cases such as windowing and sessions. Unlike other stream-processing platforms such as <a href=""/radar/platforms/apache-spark"">Apache Spark</a> and <a href=""https://doc.akka.io/docs/akka-stream-kafka/current/home.html"">Alpakka Kafka</a>, Kafka Streams has been a good fit for scenarios that don't require large-scale distribution and parallel processing; hence we could get away without yet another piece of infrastructure such as cluster schedulers. Naturally, Kafka Streams has been a good choice when operating in the Kafka ecosystem. Kafka Streams is particularly useful when we have to process data strictly in order and exactly once. One particular use case of Kafka Streams is to build a <a href=""https://en.wikipedia.org/wiki/Change_data_capture#Event_Programming"">change data capture (CDC)</a> platform.</p> "
Microfrontends,assess,techniques,FALSE,"<p>We've seen significant benefits from introducing <a href=""https://martinfowler.com/articles/microservices.html"">microservices</a>, which have allowed teams to scale the delivery of independently deployed and maintained services. Unfortunately, we've also seen many teams create a frontend monolith — a large, entangled browser application that sits on top of the backend services — largely neutralizing the benefits of microservices. Since we first described <strong>micro frontends</strong> as a technique to address this issue, we've had almost universally positive experiences with the approach and have found a number of patterns to use micro frontends even as more and more code shifts from the server to the web browser. So far, <a href=""/radar/platforms/web-components-standard"">web components</a> have been elusive in this field, though.</p> "
Secrets as a service,adopt,techniques,FALSE,"<p>Humans and machines use secrets throughout the value stream of building and operating software. The build pipelines need secrets to interface with secure infrastructures such as container registries, the applications use API keys as secrets to get access to business capabilities, and the service-to-service communications are secured using certificates and keys as secrets. You can set and retrieve these secrets in different ways. We've long cautioned developers about using source code management for storing secrets. We've recommended <a href=""/radar/techniques/decoupling-secret-management-from-source-code"">decoupling secret management from source code</a> and using tools such as <a href=""/radar/tools/git-secrets"">git-secrets</a> and <a href=""/radar/tools/talisman"">Talisman</a> to avoid storing secrets in the source code. We've been using <strong>secrets as a service</strong> as a default technique for storing and accessing secrets. With this technique you can use tools such as <a href=""/radar/tools/hashicorp-vault"">Vault</a> or <a href=""https://aws.amazon.com/kms/"">AWS Key Management Service (KMS)</a> to read/write secrets over an HTTPS endpoint with fine-grained levels of access control. Secrets as a service uses external identity providers such as <a href=""https://aws.amazon.com/iam/"">AWS IAM</a> to identify the actors who request access to secrets. Actors authenticate themselves with the secrets service. For this process to work, it's important to automate bootstrapping the identity of the actors, services and applications. Platforms based on <a href=""/radar/platforms/spiffe"">SPIFFE</a> have improved the automation of assigning identities to services.</p> "
Chaos Engineering,adopt,techniques,TRUE,"<p>In the last year we have seen <strong>Chaos Engineering</strong> go from being a much talked about idea to an accepted, widely accepted idea to improve and ensure the resiliency of distributed systems. As organizations large and small begin to implement Chaos Engineering as an operational process, we are learning how to safely apply these techniques on a large scale. The approach is definitely not for everyone and to be effective and secure requires large-scale organizational support. Industry acceptance and availability of experts will definitely increase with the advent of commercial services such as <a href=""/radar/tools/gremlin"">Gremlin</a>and deployment tools such as <a href=""/radar/tools/spinnaker"">Spinnaker</a> implementing some Chaos Engineering tools. Check <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/12088/Continuous-Chaos"">here�</a> regarding Chaos Engineering in Bancolombia.</p> "
Container security scanning,adopt,techniques,FALSE,"<p>The container revolution around <a href=""/radar/platforms/docker"">Docker</a> has massively reduced the friction in moving applications between environments, fueling increased adoption of continuous delivery and continuous deployments. The latter, especially, has blown a rather large hole in the traditional controls over what can go to production. The technique of <strong>container security scanning</strong> is a necessary response to this threat vector. Tools in the build pipeline automatically check containers flowing through the pipeline against known vulnerabilities. Since our first mention of this technique, the tool landscape has matured and the technique has proven useful on development efforts with our clients.</p> "
Service mesh,assess,techniques,FALSE,"<p><strong>Service mesh</strong> is an approach to operating a secure, fast and reliable microservices ecosystem. It has been an important stepping stone in making it easier to adopt microservices at scale. It offers discovery, security, tracing, monitoring and failure handling. It provides these cross-functional capabilities without the need for a shared asset such as an API gateway or baking libraries into each service. A typical implementation involves lightweight reverse-proxy processes, aka sidecars, deployed alongside each service process in a separate container. Sidecars intercept the inbound and outbound traffic of each service and provide cross-functional capabilities mentioned above. This approach has relieved the distributed service teams from building and updating the capabilities that the mesh offers as code in their services. This has lead to an even easier adoption of <a href=""/radar/techniques/polyglot-programming"">polyglot programming</a> in a microservices ecosystem. Our teams have been successfully using this approach with open source projects such as <a href=""/radar/platforms/istio"">Istio</a> and we will continue to monitor other open service mesh implementations such as <a href=""http://linkerd.io/"">Linkerd</a> closely.</p> "
Strong eventual consistency (ACID 2.0),adopt,techniques,TRUE,"<p><b>ACID</b> is an acronym that stands for Atomicity, Consistency, Isolation and Durability, characteristics of SQL databases, and that basically guarantee consistency and availability but are not easily distributed or tolerant to partitioning as indicated in the  <a href=""https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/1773/Tipos-de-bases-de-datos"">CAP theorem</a>. There is Eventual Consistency when there is Eventual Delivery, Convergence and Termination. Strong Eventual Consistency occurs when there is Strong Convergence. This practice is often a good option for keeping data immutable in distributed systems, but it is not suitable for all cases. You can see below the guideline on <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/9425/Strong-Eventual-Consistency-(ACID-2.0)"">Strong Eventual Consistency (ACID 2.0)</a></p> "
CQRS,assess,techniques,FALSE,"<p> <b>CQRS (Command Query Responsibility Segregation)</b> is an architectural pattern in which we have two differentiated subsystems, one responsible for the commands, and the other responsible for the queries, that is, reading and writing go through paths different. </p>"
Conflict-free replicated data types (CRDTs),assess,techniques,FALSE,"<p>A <b>Conflict-free Replicated Data Type (CRDT)</b> is a data structure that simplifies distributed data storage systems and multi-user applications. <br>In many systems, copies of some data need to be stored on multiple computers (known as replicas). Examples of such systems include: Mobile apps; Distributed databases; Collaboration software, such as Google Docs, Trello, Figma and Large-scale data storage and processing systems. <br>All such systems need to deal with the fact that the data may be concurrently modified on different replicas. Broadly speaking, there are two possible ways of dealing with such data modifications: Strongly consistent replication and Optimistic replication. <br> Know more <a href=""https://crdt.tech"">here</a></p> "
Consistency and effective use of cache,assess,techniques,FALSE,"<p>Distributed in-memory application data caches like memcached are a popular solution for scaling database-driven web sites. These systems are easy to add to existing deployments, and increase performance significantly by reducing load on both the database and application servers. Unfortunately, such caches do not integrate well with the database or the application. They cannot maintain transactional consistency across the entire system, violating the isolation properties of the underlying database. <br>They leave the application responsible for locating data in the cache and keeping it up to date, a frequent source of application complexity and programming errors. <br>Addressing both of these problems, there are options as transactional caches. Some cases shows that adding a transactinoal cache can increase the throughput of a web application by up to 5.2×, only slightly less than a non-transactional cache, showing that consistency does not have to come at the price of performance.<br> Know more reading the article<a href=""https://drkp.net/papers/txcache-osdi10.pdf"">Transactional Consistency and Automatic Management in an Application Data Cache</a>, published by Dan R. K. Ports, Austin T. Clements, Irene Zhang, Samuel Madden and Barbara Liskov in MIT CSAIL. </p>"
Consistency in transactions and distributed processes,assess,techniques,FALSE,"<p>The concepts of transaction and of data consistency are defined for a distributed system. The cases of partitioned data, where fragments of a file are stored at multiple nodes, and replicated data, where a file is replicated at several nodes, are discussed. It is argued that the distribution and replication of data should be transparent to the programs which use the data. That is, the programming interface should provide location transparency, replica transparency, concurrency transparency, and failure transparency. Techniques for providing such transparencies are abstracted and discussed. <br>By extending the notions of system schedule and system clock to handle multiple nodes, it is shown that a distributed system can be modeled as a single sequential execution sequence. This model is then used to discuss simple techniques for implementing the various forms of transparency. <br>All such systems need to deal with the fact that the data may be concurrently modified on different replicas. Broadly speaking, there are two possible ways of dealing with such data modifications: Strongly consistent replication and Optimistic replication. <br> Know more <a href=""https://dl.acm.org/doi/10.1145/319732.319734"">official paper</a> </p>"
Compensation transactions- Saga pattern,assess,techniques,FALSE,"<p>At very first, Saga pattern was proposed by Hector García-Molina and Kenneth Salem as a sophisticated solution for the Long lived Transactions problem. A LLT is a saga if it can be written as a sequence of transactions that can be interleaved with other transactions The database management system guarantees that either all the transactions m a saga are successfully completed or compensatmg transactions are run to amend a partial execution Both the concept of saga and its lmplementation are relatively simple, but they have the potential to improve performance slgmficantly. Chris Richardsion defines a saga as <i>a sequence of local transactions. Each local transaction updates the database and publishes a message or event to trigger the next local transaction in the saga. If a local transaction fails because it violates a business rule then the saga executes a series of compensating transactions that undo the changes that were made by the preceding local transactions.</i><br> Know more reading the original García-Molina and Salem's paper titled<a href=""https://www.cs.cornell.edu/andru/cs711/2002fa/reading/sagas.pdf""> Sagas</a> and <a href=""https://microservices.io/patterns/data/saga.html"">Chris Richardson's definition</a> </p>"
Immutable data / Append-Only Apps,assess,techniques,FALSE,"<p>Immutable data / Append-Only Apps​ are qualities contained within append-only computing. In append-only computing, observations are recorded forever (or for a long time). Derived results are calculated on demand (or periodically precalculated). <br>This is similar to a DBMS (database management system) in which transaction logs record all the changes made to the database. High-speed appends are the only way to change the log. From this perspective, the contents of the database hold a caching of the latest record values in the logs. The truth is the log. The database is a cache of a subset of the log. That cached subset happens to be the latest value of each record and index value from the log. <br>You can learn more about <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/12436/Event-First-Domain-driven-Design-(DDD)"">Immutable data / Append-Only Apps​</a> </p>"
Limitations and characteristics of different SQL/NoSQL distributed data models,assess,techniques,FALSE,"<p>Currently there is a wide range of both type and brand, each with a defined objective and capabilities. For this reason, it is important to know the guide to recognize the <b>Limitations and characteristics of different SQL/NoSQL​</b> distributed data models. <br>Let us remember Brewer's theorem or CAP theorem, which mentions three characteristics, indicating that databases can only take two: <br>In the case of relational databases (Relational Data Base Management Systems) Usually you have Consistency and Availability, while non-relational databases usually have a combination of Availability and Partitioning or Consistency and Partitioning.<br> Learn more about this guide <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/1773/Tipos-de-bases-de-datos"">here�</a> </p>"
